fecha,Demanda real
2019-01-01,23459.0
2019-01-02,23083.58333333333
2019-01-03,29587.32638888889
2019-01-04,31287.3125
2019-01-05,31500.98611111111
2019-01-06,28435.444444444445
2019-01-07,26137.430555555555
2019-01-08,30404.347222222223
2019-01-09,33604.78472222222
2019-01-10,33613.083333333336
2019-01-11,34053.819444444445
2019-01-12,34446.305555555555
2019-01-13,30544.83333333333
2019-01-14,28633.25
2019-01-15,33250.75
2019-01-16,33585.04861111111
2019-01-17,33702.3125
2019-01-18,33819.743055555555
2019-01-19,33784.59027777778
2019-01-20,30411.590277777777
2019-01-21,28017.70833333333
2019-01-22,33164.86111111111
2019-01-23,34490.67361111111
2019-01-24,34054.458333333336
2019-01-25,33370.708333333336
2019-01-26,32418.375
2019-01-27,28623.95138888889
2019-01-28,26982.64583333333
2019-01-29,32256.305555555555
2019-01-30,32991.76388888889
2019-01-31,33091.28057553957
2019-02-01,28746.166666666668
2019-02-02,32269.5
2019-02-03,29439.23611111111
2019-02-04,27697.597222222223
2019-02-05,33005.916666666664
2019-02-06,32839.055555555555
2019-02-07,32217.027777777777
2019-02-08,31949.6875
2019-02-09,31561.27083333333
2019-02-10,28335.70833333333
2019-02-11,26614.04861111111
2019-02-12,30986.45833333333
2019-02-13,31700.555555555555
2019-02-14,31494.82638888889
2019-02-15,31356.625
2019-02-16,31161.472222222223
2019-02-17,27737.5
2019-02-18,25882.57638888889
2019-02-19,30919.92361111111
2019-02-20,31271.222222222223
2019-02-21,31078.034722222223
2019-02-22,31044.4375
2019-02-23,30420.916666666668
2019-02-24,27083.847222222223
2019-02-25,25060.243055555555
2019-02-26,29763.555555555555
2019-02-27,30067.33333333333
2019-02-28,30102.80575539568
2019-03-01,26574.5
2019-03-02,29601.631944444445
2019-03-03,26507.972222222223
2019-03-04,24531.67361111111
2019-03-05,28977.944444444445
2019-03-06,29655.5
2019-03-07,30463.055555555555
2019-03-08,30047.215277777777
2019-03-09,29543.215277777777
2019-03-10,26303.222222222223
2019-03-11,24187.04861111111
2019-03-12,28647.3125
2019-03-13,29339.006944444445
2019-03-14,29766.618055555555
2019-03-15,29700.743055555555
2019-03-16,29117.39583333333
2019-03-17,25917.993055555555
2019-03-18,24158.70138888889
2019-03-19,28062.840277777777
2019-03-20,27803.840277777777
2019-03-21,29741.5625
2019-03-22,29909.51388888889
2019-03-23,29557.51388888889
2019-03-24,26279.33333333333
2019-03-25,24134.3125
2019-03-26,28382.6875
2019-03-27,28998.152777777777
2019-03-28,29041.291666666668
2019-03-29,29037.430555555555
2019-03-30,28950.58333333333
2019-03-31,26026.043165467625
2019-04-01,23744.0
2019-04-02,29031.11111111111
2019-04-03,29413.090277777777
2019-04-04,29472.284722222223
2019-04-05,29633.3125
2019-04-06,30119.729166666668
2019-04-07,26790.347222222223
2019-04-08,25117.23611111111
2019-04-09,29717.57638888889
2019-04-10,30161.027777777777
2019-04-11,30039.07638888889
2019-04-12,29872.70833333333
2019-04-13,29134.26388888889
2019-04-14,25767.527777777777
2019-04-15,23876.694444444445
2019-04-16,28024.368055555555
2019-04-17,28141.006944444445
2019-04-18,27820.409722222223
2019-04-19,24773.63888888889
2019-04-20,22829.944444444445
2019-04-21,23418.555555555555
2019-04-22,22564.3125
2019-04-23,24570.33333333333
2019-04-24,27213.604166666668
2019-04-25,29017.631944444445
2019-04-26,28963.118055555555
2019-04-27,28243.95833333333
2019-04-28,24787.659722222223
2019-04-29,22412.729166666668
2019-04-30,27019.22556390977
2019-05-01,23705.916666666668
2019-05-02,22824.95833333333
2019-05-03,26607.13888888889
2019-05-04,27389.42361111111
2019-05-05,24834.118055555555
2019-05-06,23068.027777777777
2019-05-07,27422.04861111111
2019-05-08,28218.89583333333
2019-05-09,28478.104166666668
2019-05-10,28427.23611111111
2019-05-11,28138.506944444445
2019-05-12,24949.79861111111
2019-05-13,22979.95138888889
2019-05-14,27399.631944444445
2019-05-15,28270.07638888889
2019-05-16,28170.229166666668
2019-05-17,28485.57638888889
2019-05-18,27727.08333333333
2019-05-19,24621.006944444445
2019-05-20,22958.777777777777
2019-05-21,27372.32638888889
2019-05-22,28034.854166666668
2019-05-23,28341.89583333333
2019-05-24,28333.20833333333
2019-05-25,28057.52083333333
2019-05-26,24859.465277777777
2019-05-27,22790.694444444445
2019-05-28,27690.29861111111
2019-05-29,28422.777777777777
2019-05-30,28334.597222222223
2019-05-31,28487.03007518797
2019-06-01,25303.75
2019-06-02,25636.04861111111
2019-06-03,23901.73611111111
2019-06-04,28791.368055555555
2019-06-05,29314.993055555555
2019-06-06,28639.88888888889
2019-06-07,28345.0
2019-06-08,28157.229166666668
2019-06-09,25236.104166666668
2019-06-10,23375.506944444445
2019-06-11,27288.67361111111
2019-06-12,28099.76388888889
2019-06-13,28359.402777777777
2019-06-14,28533.39583333333
2019-06-15,28335.875
2019-06-16,25373.51388888889
2019-06-17,23535.04861111111
2019-06-18,28252.92361111111
2019-06-19,29012.743055555555
2019-06-20,29244.26388888889
2019-06-21,28833.791666666668
2019-06-22,28662.993055555555
2019-06-23,26175.04861111111
2019-06-24,24407.86111111111
2019-06-25,27041.54861111111
2019-06-26,30324.243055555555
2019-06-27,31347.756944444445
2019-06-28,31997.055555555555
2019-06-29,32435.95833333333
2019-06-30,29637.72180451128
2019-07-01,26860.666666666668
2019-07-02,31667.819444444445
2019-07-03,32049.256944444445
2019-07-04,31953.006944444445
2019-07-05,31949.430555555555
2019-07-06,31888.5
2019-07-07,28695.17361111111
2019-07-08,26640.229166666668
2019-07-09,30653.82638888889
2019-07-10,30419.256944444445
2019-07-11,31045.98611111111
2019-07-12,32404.916666666668
2019-07-13,32588.104166666668
2019-07-14,28740.222222222223
2019-07-15,26070.70833333333
2019-07-16,31442.881944444445
2019-07-17,31800.5625
2019-07-18,31397.86111111111
2019-07-19,31757.104166666668
2019-07-20,32194.965277777777
2019-07-21,29081.5
2019-07-22,27152.243055555555
2019-07-23,33046.29861111111
2019-07-24,33848.555555555555
2019-07-25,33880.631944444445
2019-07-26,32794.84027777778
2019-07-27,31656.3125
2019-07-28,27184.694444444445
2019-07-29,24896.229166666668
2019-07-30,29991.805555555555
2019-07-31,30667.85714285714
2019-08-01,26839.5
2019-08-02,30934.840277777777
2019-08-03,30722.9375
2019-08-04,27503.243055555555
2019-08-05,25821.347222222223
2019-08-06,30430.625
2019-08-07,31121.152777777777
2019-08-08,30756.805555555555
2019-08-09,31371.8125
2019-08-10,31356.26388888889
2019-08-11,27939.784722222223
2019-08-12,25340.3125
2019-08-13,27856.305555555555
2019-08-14,27900.3125
2019-08-15,28360.256944444445
2019-08-16,25825.26388888889
2019-08-17,28173.33333333333
2019-08-18,26976.58333333333
2019-08-19,25503.33333333333
2019-08-20,29360.256944444445
2019-08-21,29137.055555555555
2019-08-22,29097.652777777777
2019-08-23,29340.04861111111
2019-08-24,29301.652777777777
2019-08-25,26747.569444444445
2019-08-26,25072.854166666668
2019-08-27,29686.118055555555
2019-08-28,29472.381944444445
2019-08-29,29971.819444444445
2019-08-30,30628.95833333333
2019-08-31,31197.84210526316
2019-09-01,24857.25
2019-09-02,25602.88888888889
2019-09-03,30302.069444444445
2019-09-04,31465.222222222223
2019-09-05,31655.14583333333
2019-09-06,30642.680555555555
2019-09-07,29570.756944444445
2019-09-08,26221.694444444445
2019-09-09,24367.77083333333
2019-09-10,28638.1875
2019-09-11,28554.17361111111
2019-09-12,27331.131944444445
2019-09-13,28220.27083333333
2019-09-14,27735.57638888889
2019-09-15,24853.222222222223
2019-09-16,23521.256944444445
2019-09-17,28519.409722222223
2019-09-18,29259.36111111111
2019-09-19,29312.659722222223
2019-09-20,29442.6875
2019-09-21,29050.631944444445
2019-09-22,25606.777777777777
2019-09-23,23597.743055555555
2019-09-24,27787.680555555555
2019-09-25,28666.92361111111
2019-09-26,29067.17361111111
2019-09-27,29160.715277777777
2019-09-28,28919.07638888889
2019-09-29,25440.722222222223
2019-09-30,23603.248120300752
2019-10-01,24435.5
2019-10-02,29211.277777777777
2019-10-03,28771.652777777777
2019-10-04,28340.6875
2019-10-05,28291.659722222223
2019-10-06,25177.465277777777
2019-10-07,23385.881944444445
2019-10-08,27994.402777777777
2019-10-09,28790.319444444445
2019-10-10,28093.590277777777
2019-10-11,28531.854166666668
2019-10-12,28091.243055555555
2019-10-13,24228.61111111111
2019-10-14,23198.159722222223
2019-10-15,27892.33333333333
2019-10-16,27767.305555555555
2019-10-17,28032.5
2019-10-18,28147.097222222223
2019-10-19,27583.972222222223
2019-10-20,24887.229166666668
2019-10-21,23057.88888888889
2019-10-22,27569.14583333333
2019-10-23,28623.847222222223
2019-10-24,28862.979166666668
2019-10-25,28677.527777777777
2019-10-26,28311.152777777777
2019-10-27,24890.159722222223
2019-10-28,23201.291666666668
2019-10-29,27737.875
2019-10-30,28366.166666666668
2019-10-31,28456.906474820145
2019-11-01,24309.166666666668
2019-11-02,24002.63888888889
2019-11-03,23958.972222222223
2019-11-04,22979.01388888889
2019-11-05,27852.006944444445
2019-11-06,28649.625
2019-11-07,28773.027777777777
2019-11-08,29332.45833333333
2019-11-09,29683.79861111111
2019-11-10,26563.11111111111
2019-11-11,24729.79861111111
2019-11-12,30133.33333333333
2019-11-13,30548.256944444445
2019-11-14,30665.631944444445
2019-11-15,31341.33333333333
2019-11-16,31330.02083333333
2019-11-17,28011.756944444445
2019-11-18,26461.76388888889
2019-11-19,31121.64583333333
2019-11-20,32164.368055555555
2019-11-21,32426.6875
2019-11-22,32371.243055555555
2019-11-23,32100.13888888889
2019-11-24,27608.229166666668
2019-11-25,25746.965277777777
2019-11-26,30570.368055555555
2019-11-27,30947.868055555555
2019-11-28,30458.854166666668
2019-11-29,30534.444444444445
2019-11-30,30111.02877697842
2019-12-01,24416.5
2019-12-02,25331.027777777777
2019-12-03,30202.11111111111
2019-12-04,31106.51388888889
2019-12-05,31498.979166666668
2019-12-06,31176.52083333333
2019-12-07,27109.1875
2019-12-08,26605.805555555555
2019-12-09,25490.86111111111
2019-12-10,28727.23611111111
2019-12-11,31119.89583333333
2019-12-12,31628.541666666668
2019-12-13,32246.965277777777
2019-12-14,31112.8125
2019-12-15,27419.61111111111
2019-12-16,25926.88888888889
2019-12-17,30733.104166666668
2019-12-18,31205.465277777777
2019-12-19,31232.291666666668
2019-12-20,31179.5
2019-12-21,29421.166666666668
2019-12-22,25836.73611111111
2019-12-23,24030.63888888889
2019-12-24,26308.625
2019-12-25,23938.25
2019-12-26,20877.479166666668
2019-12-27,24491.805555555555
2019-12-28,26400.416666666668
2019-12-29,25204.868055555555
2019-12-30,24088.104166666668
2019-12-31,27096.79136690648
2020-01-01,23001.0
2020-01-02,22738.104166666668
2020-01-03,28652.77083333333
2020-01-04,29727.222222222223
2020-01-05,27324.222222222223
2020-01-06,25797.527777777777
2020-01-07,25021.194444444445
2020-01-08,31419.659722222223
2020-01-09,32529.965277777777
2020-01-10,32738.3125
2020-01-11,32554.166666666668
2020-01-12,29169.909722222223
2020-01-13,27683.6875
2020-01-14,33264.84722222222
2020-01-15,33531.083333333336
2020-01-16,33072.36111111111
2020-01-17,32729.57638888889
2020-01-18,32194.76388888889
2020-01-19,28787.909722222223
2020-01-20,27239.33333333333
2020-01-21,33673.13888888889
2020-01-22,34465.59027777778
2020-01-23,33662.0
2020-01-24,33093.645833333336
2020-01-25,32658.430555555555
2020-01-26,28977.11111111111
2020-01-27,26704.791666666668
2020-01-28,32063.38888888889
2020-01-29,32022.51388888889
2020-01-30,31469.38888888889
2020-01-31,31075.46043165468
2020-02-01,27010.83333333333
2020-02-02,26866.881944444445
2020-02-03,24820.08333333333
2020-02-04,28998.23611111111
2020-02-05,29612.73611111111
2020-02-06,29996.041666666668
2020-02-07,30462.368055555555
2020-02-08,30644.284722222223
2020-02-09,27544.402777777777
2020-02-10,25700.819444444445
2020-02-11,29818.930555555555
2020-02-12,30261.04861111111
2020-02-13,30428.069444444445
2020-02-14,30173.805555555555
2020-02-15,29994.305555555555
2020-02-16,26698.284722222223
2020-02-17,24857.944444444445
2020-02-18,29359.52083333333
2020-02-19,30325.305555555555
2020-02-20,30303.277777777777
2020-02-21,30238.347222222223
2020-02-22,29793.277777777777
2020-02-23,26497.73611111111
2020-02-24,24435.86111111111
2020-02-25,29039.965277777777
2020-02-26,29460.58333333333
2020-02-27,29810.534722222223
2020-02-28,29707.256944444445
2020-02-29,28921.54676258993
2020-03-01,24482.666666666668
2020-03-02,24737.20833333333
2020-03-03,29332.222222222223
2020-03-04,30427.63888888889
2020-03-05,29979.08333333333
2020-03-06,29859.444444444445
2020-03-07,30008.555555555555
2020-03-08,26929.166666666668
2020-03-09,24925.979166666668
2020-03-10,29274.67361111111
2020-03-11,29457.42361111111
2020-03-12,29516.45138888889
2020-03-13,29236.305555555555
2020-03-14,28795.534722222223
2020-03-15,25324.902777777777
2020-03-16,23625.3125
2020-03-17,27793.618055555555
2020-03-18,27912.1875
2020-03-19,27028.506944444445
2020-03-20,25203.055555555555
2020-03-21,25689.118055555555
2020-03-22,24341.555555555555
2020-03-23,23085.055555555555
2020-03-24,25915.722222222223
2020-03-25,26199.743055555555
2020-03-26,26281.715277777777
2020-03-27,26106.1875
2020-03-28,26423.45833333333
2020-03-29,23868.29861111111
2020-03-30,22096.340277777777
2020-03-31,24299.42857142857
2020-04-01,21727.416666666668
2020-04-02,23906.64583333333
2020-04-03,23678.965277777777
2020-04-04,23110.902777777777
2020-04-05,21430.26388888889
2020-04-06,20503.73611111111
2020-04-07,22593.58333333333
2020-04-08,22468.618055555555
2020-04-09,22057.402777777777
2020-04-10,21071.67361111111
2020-04-11,20208.13888888889
2020-04-12,20566.42361111111
2020-04-13,19845.541666666668
2020-04-14,21542.95138888889
2020-04-15,23411.1875
2020-04-16,23944.590277777777
2020-04-17,23921.61111111111
2020-04-18,23742.159722222223
2020-04-19,21838.729166666668
2020-04-20,20593.77083333333
2020-04-21,23279.909722222223
2020-04-22,24040.42361111111
2020-04-23,24132.722222222223
2020-04-24,24025.0
2020-04-25,23735.70138888889
2020-04-26,22058.993055555555
2020-04-27,20710.402777777777
2020-04-28,23532.64583333333
2020-04-29,23985.29861111111
2020-04-30,24229.255639097744
2020-05-01,20967.08333333333
2020-05-02,20583.229166666668
2020-05-03,21060.944444444445
2020-05-04,20438.965277777777
2020-05-05,23358.347222222223
2020-05-06,24215.95138888889
2020-05-07,24414.215277777777
2020-05-08,24063.590277777777
2020-05-09,23740.222222222223
2020-05-10,21565.180555555555
2020-05-11,20225.555555555555
2020-05-12,23529.95833333333
2020-05-13,24674.680555555555
2020-05-14,24414.13888888889
2020-05-15,24479.75
2020-05-16,23877.472222222223
2020-05-17,21756.79861111111
2020-05-18,20530.854166666668
2020-05-19,23727.67361111111
2020-05-20,24401.305555555555
2020-05-21,25023.534722222223
2020-05-22,25267.875
2020-05-23,25380.9375
2020-05-24,23015.58333333333
2020-05-25,21657.652777777777
2020-05-26,25124.756944444445
2020-05-27,25712.39583333333
2020-05-28,25896.89583333333
2020-05-29,25747.92361111111
2020-05-30,25665.159722222223
2020-05-31,23366.42857142857
2020-06-01,21225.33333333333
2020-06-02,25041.36111111111
2020-06-03,26063.54861111111
2020-06-04,26421.83333333333
2020-06-05,25822.14583333333
2020-06-06,25401.0
2020-06-07,22950.631944444445
2020-06-08,21265.229166666668
2020-06-09,24836.680555555555
2020-06-10,25483.04861111111
2020-06-11,25945.493055555555
2020-06-12,25881.32638888889
2020-06-13,25600.13888888889
2020-06-14,22941.13888888889
2020-06-15,21418.3125
2020-06-16,25605.1875
2020-06-17,26087.86111111111
2020-06-18,26116.131944444445
2020-06-19,26066.305555555555
2020-06-20,26151.930555555555
2020-06-21,24134.125
2020-06-22,22914.95833333333
2020-06-23,27522.979166666668
2020-06-24,28349.51388888889
2020-06-25,26629.11111111111
2020-06-26,28553.54861111111
2020-06-27,27879.89583333333
2020-06-28,25310.75
2020-06-29,24276.506944444445
2020-06-30,29333.06015037594
2020-07-01,26770.0
2020-07-02,30427.67361111111
2020-07-03,30436.67361111111
2020-07-04,29105.89583333333
2020-07-05,26235.055555555555
2020-07-06,25060.777777777777
2020-07-07,30351.25
2020-07-08,31062.305555555555
2020-07-09,31119.840277777777
2020-07-10,30607.5
2020-07-11,29939.944444444445
2020-07-12,27111.430555555555
2020-07-13,25038.5
2020-07-14,29962.07638888889
2020-07-15,29946.0
2020-07-16,30090.180555555555
2020-07-17,30192.86111111111
2020-07-18,29905.541666666668
2020-07-19,27075.541666666668
2020-07-20,25574.11111111111
2020-07-21,30634.131944444445
2020-07-22,31149.20138888889
2020-07-23,30889.347222222223
2020-07-24,31324.95833333333
2020-07-25,31045.416666666668
2020-07-26,27614.95833333333
2020-07-27,26306.243055555555
2020-07-28,31658.097222222223
2020-07-29,32232.409722222223
2020-07-30,32308.590277777777
2020-07-31,32975.203007518794
2020-08-01,28573.25
2020-08-02,28857.777777777777
2020-08-03,26360.916666666668
2020-08-04,29388.3125
2020-08-05,29644.722222222223
2020-08-06,30398.36111111111
2020-08-07,30774.89583333333
2020-08-08,30678.541666666668
2020-08-09,27574.92361111111
2020-08-10,26004.715277777777
2020-08-11,29140.86111111111
2020-08-12,28857.819444444445
2020-08-13,27992.472222222223
2020-08-14,28259.8125
2020-08-15,27896.402777777777
2020-08-16,24541.618055555555
2020-08-17,23103.625
2020-08-18,26769.659722222223
2020-08-19,27942.1875
2020-08-20,28638.3125
2020-08-21,28775.965277777777
2020-08-22,29123.07638888889
2020-08-23,26393.52083333333
2020-08-24,24457.006944444445
2020-08-25,29099.381944444445
2020-08-26,30667.95138888889
2020-08-27,31334.38888888889
2020-08-28,31547.14583333333
2020-08-29,30193.722222222223
2020-08-30,24513.541666666668
2020-08-31,22355.87969924812
2020-09-01,24262.0
2020-09-02,27785.08333333333
2020-09-03,28190.48611111111
2020-09-04,28577.63888888889
2020-09-05,28719.57638888889
2020-09-06,25637.506944444445
2020-09-07,23743.04861111111
2020-09-08,27483.11111111111
2020-09-09,27722.02083333333
2020-09-10,28521.069444444445
2020-09-11,28655.090277777777
2020-09-12,27745.666666666668
2020-09-13,25756.14583333333
2020-09-14,24112.368055555555
2020-09-15,28823.590277777777
2020-09-16,29569.48611111111
2020-09-17,29946.993055555555
2020-09-18,29365.95833333333
2020-09-19,28233.98611111111
2020-09-20,24583.743055555555
2020-09-21,22765.61111111111
2020-09-22,27259.097222222223
2020-09-23,28005.5625
2020-09-24,28200.42361111111
2020-09-25,28124.097222222223
2020-09-26,27140.131944444445
2020-09-27,23882.875
2020-09-28,22232.0
2020-09-29,26554.375
2020-09-30,27734.496240601504
2020-10-01,24360.25
2020-10-02,27792.493055555555
2020-10-03,27500.39583333333
2020-10-04,23972.409722222223
2020-10-05,22616.86111111111
2020-10-06,26977.63888888889
2020-10-07,27578.0625
2020-10-08,27796.527777777777
2020-10-09,27905.680555555555
2020-10-10,26977.29861111111
2020-10-11,24018.493055555555
2020-10-12,22163.527777777777
2020-10-13,22613.166666666668
2020-10-14,26919.52083333333
2020-10-15,27885.881944444445
2020-10-16,28034.604166666668
2020-10-17,27880.979166666668
2020-10-18,24994.27083333333
2020-10-19,23099.284722222223
2020-10-20,27523.13888888889
2020-10-21,28267.722222222223
2020-10-22,28011.541666666668
2020-10-23,28184.777777777777
2020-10-24,27540.840277777777
2020-10-25,24476.3125
2020-10-26,22902.493055555555
2020-10-27,27349.277777777777
2020-10-28,28224.854166666668
2020-10-29,28473.125
2020-10-30,28505.38888888889
2020-10-31,28192.64748201439
2020-11-01,22194.33333333333
2020-11-02,22779.625
2020-11-03,25707.02083333333
2020-11-04,27786.444444444445
2020-11-05,28936.70833333333
2020-11-06,28918.64583333333
2020-11-07,28111.39583333333
2020-11-08,25013.20138888889
2020-11-09,23132.340277777777
2020-11-10,27459.61111111111
2020-11-11,28330.625
2020-11-12,28619.604166666668
2020-11-13,28641.36111111111
2020-11-14,28388.465277777777
2020-11-15,25402.131944444445
2020-11-16,23173.916666666668
2020-11-17,27577.222222222223
2020-11-18,28456.14583333333
2020-11-19,28640.118055555555
2020-11-20,28329.472222222223
2020-11-21,28158.95138888889
2020-11-22,25622.54861111111
2020-11-23,24261.805555555555
2020-11-24,29192.104166666668
2020-11-25,30309.916666666668
2020-11-26,30500.381944444445
2020-11-27,30375.70138888889
2020-11-28,30102.131944444445
2020-11-29,26746.95138888889
2020-11-30,25135.172661870503
2020-12-01,25624.0
2020-12-02,29772.17361111111
2020-12-03,30149.14583333333
2020-12-04,31039.277777777777
2020-12-05,31181.02083333333
2020-12-06,28333.118055555555
2020-12-07,26436.930555555555
2020-12-08,27855.215277777777
