fecha,demanda,tmed,hrmed,diasem,trim,festivo
2019-05-02,26607.14,14.98,60.03,3,1,0
2019-05-03,27389.42,12.62,64.5,4,1,0
2019-05-04,24834.12,13.1,57.77,5,1,0
2019-05-05,23068.03,13.04,49.53,6,1,0
2019-05-06,27422.05,14.03,52.65,0,1,0
2019-05-07,28218.9,15.47,61.78,1,1,0
2019-05-08,28478.1,15.72,63.68,2,1,0
2019-05-09,28427.24,15.14,65.85,3,1,0
2019-05-10,28138.51,18.19,62.57,4,1,0
2019-05-11,24949.8,16.74,54.27,5,1,0
2019-05-12,22979.95,16.68,43.79,6,1,0
2019-05-13,27399.63,17.11,40.21,0,1,0
2019-05-14,28270.08,17.47,41.97,1,1,0
2019-05-15,28170.23,18.65,43.05,2,1,0
2019-05-16,28485.58,16.8,56.96,3,1,0
2019-05-17,27727.08,12.27,62.16,4,1,0
2019-05-18,24621.01,11.71,57.83,5,1,0
2019-05-19,22958.78,12.48,56.36,6,1,0
2019-05-20,27372.33,13.7,53.57,0,1,0
2019-05-21,28034.85,15.67,54.65,1,1,0
2019-05-22,28341.9,17.04,51.53,2,1,0
2019-05-23,28333.21,18.22,53.27,3,1,0
2019-05-24,28057.52,15.61,64.54,4,1,0
2019-05-25,24859.47,15.88,58.48,5,1,0
2019-05-26,22790.69,16.59,54.99,6,1,0
2019-05-27,27690.3,17.62,55.34,0,1,0
2019-05-28,28422.78,16.89,52.56,1,1,0
2019-05-29,28334.6,16.75,49.11,2,1,0
2019-05-30,28487.03,18.63,45.1,3,1,0
2019-05-31,25303.75,20.42,42.19,4,1,0
2019-06-01,25636.05,21.43,38.7,5,1,0
2019-06-02,23901.74,21.53,39.68,6,1,0
2019-06-03,28791.37,21.44,43.95,0,1,0
2019-06-04,29314.99,19.4,52.6,1,1,0
2019-06-05,28639.89,15.13,55.66,2,1,0
2019-06-06,28345.0,15.38,50.69,3,1,0
2019-06-07,28157.23,15.44,50.43,4,1,0
2019-06-08,25236.1,16.14,49.69,5,1,0
2019-06-09,23375.51,17.72,52.29,6,1,0
2019-06-10,27288.67,16.59,52.35,0,1,0
2019-06-11,28099.76,14.47,57.12,1,1,0
2019-06-12,28359.4,14.82,49.69,2,1,0
2019-06-13,28533.4,16.71,53.93,3,1,0
2019-06-14,28335.88,16.84,53.62,4,1,0
2019-06-15,25373.51,17.12,48.68,5,1,0
2019-06-16,23535.05,18.31,47.18,6,1,0
2019-06-17,28252.92,20.11,45.68,0,1,0
2019-06-18,29012.74,20.8,45.46,1,1,0
2019-06-19,29244.26,20.22,55.81,2,1,0
