fecha,tmed,hrMedia
2019-01-01,7.546275023449659,64.55133203491135
2019-01-02,6.299199993114516,68.13908305207298
2019-01-03,5.589226314075767,66.48409152111854
2019-01-04,5.572485826378418,64.74837486202875
2019-01-05,6.092966329795733,59.18874060904284
2019-01-06,6.567710683068239,53.04513909046019
2019-01-07,5.782109875532527,57.665228892589035
2019-01-08,5.960685624218008,65.16698186191405
2019-01-09,6.926523635357687,67.41107189231488
2019-01-10,4.310769678648275,60.542994762678376
2019-01-11,3.153236859991819,59.533466044507236
2019-01-12,4.787311811045077,68.07780665893769
2019-01-13,6.122794012725977,69.30097318213386
2019-01-14,7.726978669595211,68.14526739280377
2019-01-15,6.940860253332932,71.94478916676262
2019-01-16,5.736987983063701,79.076481315955
2019-01-17,5.383702215205726,79.2512221422545
2019-01-18,4.2026842715918065,77.40842608607664
2019-01-19,5.262002926706281,83.11442196163921
2019-01-20,6.462343547775691,81.34998068036158
2019-01-21,5.328072257018596,72.62257911722673
2019-01-22,4.143738251103998,78.26696869082639
2019-01-23,7.798403015666822,77.896112062758
2019-01-24,8.762338061697257,72.616950945904
2019-01-25,9.162727351733233,70.35586765488007
2019-01-26,8.610612557310452,69.36063775735082
2019-01-27,7.053625043383063,67.93040249358434
2019-01-28,7.190147334456422,71.1117000621546
2019-01-29,6.9243567964140595,78.48576926117487
2019-01-30,6.991008152243775,72.43988804598996
2019-01-31,9.795401092277318,83.91720839846894
2019-02-01,7.215417555317411,76.56815170395937
2019-02-02,4.677535185247248,68.84298227279018
2019-02-03,3.8662357470412347,61.55813424275742
2019-02-04,5.342176316293753,60.16521454251457
2019-02-05,8.828211403068027,67.11615454228624
2019-02-06,9.439988123245524,69.2170476089396
2019-02-07,8.806419509875933,69.37954246037853
2019-02-08,8.216102416619833,70.5173081997589
2019-02-09,9.091723116924499,69.62815808607306
2019-02-10,8.771715900870028,74.71033018074148
2019-02-11,8.2858926014433,69.21919408482437
2019-02-12,7.930989239652237,65.56719527999621
2019-02-13,8.496223890676472,62.10635742191819
